event_id,session_id,event_name,event_time,revenue,reason
E0023291,S10220,visit,2026-02-19T08:25:33Z,0,duplicate_event_id
E0025757,S11330,visit,2026-02-23T02:42:09Z,0,duplicate_event_id
E0015071,S06605,view_product,2026-01-09T16:14:27Z,0,duplicate_event_id
E0017400,S07618,view_product,2026-03-03T07:42:43Z,0,duplicate_event_id
E0013290,S05816,visit,2026-03-14T12:15:03Z,0,duplicate_event_id
E0022606,S09921,visit,2026-02-07T19:02:27Z,0,duplicate_event_id
E0023839,S10455,checkout,2026-01-11T15:02:12Z,0,duplicate_event_id
E0005892,S02569,view_product,2026-02-14T06:50:20Z,0,duplicate_event_id
E0020003,S08793,add_to_cart,2026-03-26T12:11:11Z,0,duplicate_event_id
E0001234,S00540,view_product,2026-01-28T01:20:52Z,0,duplicate_event_id
INVALID001,MISSING,visit,2026-01-01T00:00:00Z,0,unknown_session
E0000412,S00180,add_to_cart,2026-01-07T23:02:57Z,0,duplicate_event_id
E0016304,S07145,view_product,2026-01-18T20:09:30Z,0,duplicate_event_id
E0022880,S10043,visit,2026-01-16T01:40:29Z,0,duplicate_event_id
E0017948,S07865,view_product,2026-02-23T13:03:53Z,0,duplicate_event_id
E0022195,S09746,view_product,2026-01-07T16:42:27Z,0,duplicate_event_id
E0027264,S11987,view_product,2026-01-09T08:54:57Z,0,duplicate_event_id
E0026579,S11694,visit,2026-01-24T16:41:46Z,0,duplicate_event_id
E0014523,S06357,add_to_cart,2026-03-20T12:54:12Z,0,duplicate_event_id
E0012194,S05327,view_product,2026-03-31T03:24:54Z,0,duplicate_event_id
E0011235,S04909,visit,2026-02-11T05:04:44Z,0,duplicate_event_id
E0006714,S02927,visit,2026-02-24T22:09:34Z,0,duplicate_event_id
E0000960,S00423,visit,2026-02-22T20:10:28Z,0,duplicate_event_id
E0005207,S02277,checkout,2026-03-03T13:13:33Z,0,duplicate_event_id
E0009454,S04135,purchase,2026-03-15T19:27:15Z,157.04,duplicate_event_id
E0023702,S10398,view_product,2026-02-16T15:34:46Z,0,duplicate_event_id
E0006988,S03046,view_product,2026-01-22T16:43:49Z,0,duplicate_event_id
E0021647,S09500,visit,2026-03-29T00:15:45Z,0,duplicate_event_id
E0002878,S01261,add_to_cart,2026-01-11T22:51:12Z,0,duplicate_event_id
E0025620,S11263,checkout,2026-01-05T05:04:39Z,0,duplicate_event_id
E0019592,S08620,view_product,2026-01-11T08:20:59Z,0,duplicate_event_id
E0020551,S09034,view_product,2026-02-19T17:12:18Z,0,duplicate_event_id
E0016852,S07379,visit,2026-02-12T23:14:38Z,0,duplicate_event_id
E0013427,S05887,visit,2026-01-27T19:15:37Z,0,duplicate_event_id
E0020825,S09153,view_product,2026-02-13T06:19:07Z,0,duplicate_event_id
E0005481,S02390,visit,2026-02-09T06:05:52Z,0,duplicate_event_id
E0001097,S00484,view_product,2026-01-21T03:48:35Z,0,duplicate_event_id
E0002056,S00901,view_product,2026-02-05T02:56:33Z,0,duplicate_event_id
E0025209,S11075,purchase,2026-03-26T05:48:23Z,92.75,duplicate_event_id
E0026031,S11451,visit,2026-03-01T22:25:37Z,0,duplicate_event_id
E0008358,S03656,visit,2026-02-28T23:07:13Z,0,duplicate_event_id
E0018907,S08303,visit,2026-01-15T07:15:48Z,0,duplicate_event_id
E0017263,S07556,checkout,2026-01-16T04:31:02Z,0,duplicate_event_id
E0001371,S00602,checkout,2026-01-17T08:36:23Z,0,duplicate_event_id
E0002193,S00964,add_to_cart,2026-02-16T05:45:20Z,0,duplicate_event_id
E0003563,S01554,visit,2026-02-01T01:46:40Z,0,duplicate_event_id
E0020277,S08923,purchase,2026-02-19T14:51:00Z,150.0,duplicate_event_id
E0013153,S05755,checkout,2026-02-19T18:11:47Z,0,duplicate_event_id
E0020414,S08976,view_product,2026-01-05T17:46:07Z,0,duplicate_event_id
E0018359,S08045,visit,2026-03-10T17:50:15Z,0,duplicate_event_id
E0012468,S05452,checkout,2026-02-28T02:21:17Z,0,duplicate_event_id
E0025894,S11387,visit,2026-03-28T02:26:10Z,0,duplicate_event_id
E0020140,S08855,visit,2026-03-25T04:06:43Z,0,duplicate_event_id
E0026168,S11512,view_product,2026-01-21T18:43:09Z,0,duplicate_event_id
E0024250,S10647,view_product,2026-02-03T02:22:07Z,0,duplicate_event_id
E0015482,S06783,visit,2026-03-03T05:30:55Z,0,duplicate_event_id
E0024661,S10823,view_product,2026-02-12T15:04:12Z,0,duplicate_event_id
E0009865,S04315,view_product,2026-03-09T02:55:30Z,0,duplicate_event_id
E0010276,S04494,view_product,2026-03-28T01:22:15Z,0,duplicate_event_id
E0006577,S02865,visit,2026-02-21T20:09:02Z,0,duplicate_event_id
E0006851,S02989,visit,2026-03-24T03:39:01Z,0,duplicate_event_id
E0016441,S07203,visit,2026-01-25T03:07:20Z,0,duplicate_event_id
E0000686,S00297,visit,2026-02-15T09:43:58Z,0,duplicate_event_id
E0023154,S10161,visit,2026-01-04T09:00:26Z,0,duplicate_event_id
E0015345,S06722,visit,2026-03-07T15:36:35Z,0,duplicate_event_id
E0025346,S11136,visit,2026-02-14T03:05:56Z,0,duplicate_event_id
E0013701,S06011,view_product,2026-02-08T19:19:09Z,0,duplicate_event_id
E0003289,S01441,visit,2026-03-27T05:01:46Z,0,duplicate_event_id
E0007262,S03169,add_to_cart,2026-03-26T13:52:22Z,0,duplicate_event_id
E0026442,S11628,visit,2026-01-31T19:59:37Z,0,duplicate_event_id
E0011098,S04847,add_to_cart,2026-01-05T07:57:20Z,0,duplicate_event_id
E0023017,S10108,visit,2026-01-15T09:35:57Z,0,duplicate_event_id
E0019181,S08433,visit,2026-03-25T17:25:14Z,0,duplicate_event_id
E0011509,S05033,view_product,2026-02-04T15:12:11Z,0,duplicate_event_id
E0014386,S06303,purchase,2026-01-23T21:17:13Z,31.31,duplicate_event_id
E0026990,S11870,view_product,2026-01-30T18:36:23Z,0,duplicate_event_id
E0010550,S04616,visit,2026-02-02T03:57:44Z,0,duplicate_event_id
E0014112,S06193,visit,2026-03-06T17:28:51Z,0,duplicate_event_id
E0013975,S06123,view_product,2026-03-06T22:39:49Z,0,duplicate_event_id
E0009591,S04187,view_product,2026-02-28T14:49:04Z,0,duplicate_event_id
E0009043,S03960,view_product,2026-02-28T11:00:43Z,0,duplicate_event_id
E0007810,S03411,visit,2026-01-30T00:06:31Z,0,duplicate_event_id
E0022058,S09682,visit,2026-01-10T14:59:31Z,0,duplicate_event_id
E0017811,S07799,visit,2026-01-29T17:56:53Z,0,duplicate_event_id
E0003152,S01382,purchase,2026-03-01T16:47:12Z,76.3,duplicate_event_id
E0019866,S08731,visit,2026-02-23T13:21:02Z,0,duplicate_event_id
E0000138,S00056,checkout,2026-03-07T17:18:46Z,0,duplicate_event_id
E0021921,S09619,visit,2026-03-22T09:14:29Z,0,duplicate_event_id
E0020962,S09207,visit,2026-01-31T14:33:19Z,0,duplicate_event_id
E0004522,S01975,view_product,2026-01-14T18:42:16Z,0,duplicate_event_id
E0011783,S05156,view_product,2026-01-21T18:20:40Z,0,duplicate_event_id
E0007947,S03468,view_product,2026-01-14T12:17:07Z,0,duplicate_event_id
E0011920,S05216,add_to_cart,2026-01-23T00:32:56Z,0,duplicate_event_id
E0006303,S02742,view_product,2026-01-31T03:55:45Z,0,duplicate_event_id
E0013016,S05698,visit,2026-01-05T22:13:00Z,0,duplicate_event_id
E0002330,S01025,purchase,2026-01-29T15:32:37Z,114.8,duplicate_event_id
E0016030,S07025,visit,2026-01-30T17:47:15Z,0,duplicate_event_id
E0026853,S11814,checkout,2026-01-11T04:43:34Z,0,duplicate_event_id
E0011646,S05096,purchase,2026-01-26T01:45:55Z,52.91,duplicate_event_id
E0007125,S03107,visit,2026-02-10T07:46:44Z,0,duplicate_event_id
E0014797,S06477,add_to_cart,2026-03-20T08:24:00Z,0,duplicate_event_id
E0019729,S08674,view_product,2026-03-19T06:25:26Z,0,duplicate_event_id
E0007536,S03280,visit,2026-02-05T05:07:36Z,0,duplicate_event_id
E0008221,S03592,visit,2026-01-15T04:28:50Z,0,duplicate_event_id
E0002467,S01078,add_to_cart,2026-03-28T16:50:00Z,0,duplicate_event_id
E0022469,S09864,view_product,2026-02-02T00:50:18Z,0,duplicate_event_id
E0014660,S06418,visit,2026-02-11T04:16:55Z,0,duplicate_event_id
E0018770,S08240,checkout,2026-02-23T21:43:44Z,0,duplicate_event_id
E0006440,S02801,view_product,2026-01-22T16:31:58Z,0,duplicate_event_id
E0001782,S00778,view_product,2026-01-14T04:10:26Z,0,duplicate_event_id
E0005755,S02513,add_to_cart,2026-01-09T17:00:14Z,0,duplicate_event_id
E0010824,S04732,visit,2026-03-10T01:07:47Z,0,duplicate_event_id
E0001919,S00843,visit,2026-01-24T03:26:27Z,0,duplicate_event_id
E0017537,S07683,view_product,2026-03-05T10:16:27Z,0,duplicate_event_id
E0019044,S08370,add_to_cart,2026-01-13T08:20:34Z,0,duplicate_event_id
E0012331,S05389,view_product,2026-03-16T00:41:04Z,0,duplicate_event_id
E0024113,S10581,view_product,2026-03-18T09:43:00Z,0,duplicate_event_id
E0008769,S03837,visit,2026-02-10T06:44:09Z,0,duplicate_event_id
E0012057,S05272,view_product,2026-03-10T08:07:08Z,0,duplicate_event_id
E0016578,S07261,visit,2026-02-05T16:31:59Z,0,duplicate_event_id
E0012879,S05639,visit,2026-01-28T10:56:58Z,0,duplicate_event_id
E0008495,S03713,add_to_cart,2026-02-04T22:58:01Z,0,duplicate_event_id
E0010961,S04792,visit,2026-02-15T05:37:58Z,0,duplicate_event_id
E0016989,S07440,view_product,2026-03-29T05:59:44Z,0,duplicate_event_id
E0015208,S06666,visit,2026-03-11T22:04:47Z,0,duplicate_event_id
E0016167,S07083,visit,2026-02-18T10:11:09Z,0,duplicate_event_id
E0024387,S10703,visit,2026-03-02T05:32:54Z,0,duplicate_event_id
E0004933,S02150,visit,2026-03-13T11:48:36Z,0,duplicate_event_id
E0014249,S06248,checkout,2026-03-02T22:23:17Z,0,duplicate_event_id
E0008632,S03774,purchase,2026-01-14T18:51:37Z,155.97,duplicate_event_id
E0001645,S00721,visit,2026-01-26T19:25:24Z,0,duplicate_event_id
E0019455,S08561,visit,2026-03-11T16:44:31Z,0,duplicate_event_id
E0016715,S07314,visit,2026-02-05T04:42:48Z,0,duplicate_event_id
E0027127,S11930,visit,2026-03-23T05:46:30Z,0,duplicate_event_id
E0009317,S04073,visit,2026-01-03T08:45:29Z,0,duplicate_event_id
E0021236,S09325,view_product,2026-01-29T15:45:31Z,0,duplicate_event_id
E0002604,S01141,visit,2026-01-17T18:55:24Z,0,duplicate_event_id
E0003015,S01323,visit,2026-01-05T19:25:22Z,0,duplicate_event_id
E0008906,S03900,visit,2026-03-28T18:05:26Z,0,duplicate_event_id
E0009728,S04245,add_to_cart,2026-03-28T17:52:07Z,0,duplicate_event_id
E0021510,S09438,checkout,2026-03-03T04:52:17Z,0,duplicate_event_id
E0004248,S01853,add_to_cart,2026-02-13T08:51:17Z,0,duplicate_event_id
E0004659,S02028,visit,2026-02-20T21:08:28Z,0,duplicate_event_id
E0017126,S07499,view_product,2026-02-26T04:36:21Z,0,duplicate_event_id
E0000823,S00360,purchase,2026-01-30T14:02:19Z,21.36,duplicate_event_id
E0017674,S07744,purchase,2026-01-09T10:30:09Z,161.21,duplicate_event_id
E0021373,S09382,checkout,2026-01-08T11:53:22Z,0,duplicate_event_id
E0024935,S10955,view_product,2026-03-07T08:16:02Z,0,duplicate_event_id
E0023565,S10337,checkout,2026-01-30T02:48:14Z,0,duplicate_event_id
E0000001,S00001,visit,2026-03-23T04:03:12Z,0,duplicate_event_id
E0004385,S01903,view_product,2026-03-07T00:45:37Z,0,duplicate_event_id
E0000275,S00117,add_to_cart,2026-01-10T17:10:07Z,0,duplicate_event_id
