event_id,session_id,event_name,event_time,revenue
E0000106,S00041,view_product,2026-02-24T20:26:07Z,0
E0018941,S08322,visit,2026-01-21T07:59:20Z,0
E0006745,S02943,view_product,2026-01-11T09:45:53Z,0
E0003688,S01613,view_product,2026-01-28T22:29:56Z,0
E0016293,S07140,visit,2026-01-27T05:16:16Z,0
E0003596,S01569,visit,2026-01-13T13:57:26Z,0
E0001722,S00755,view_product,2026-02-18T11:32:03Z,0
E0003483,S01522,visit,2026-03-22T06:12:24Z,0
E0016105,S07057,visit,2026-02-08T13:53:35Z,0
E0007805,S03408,visit,2026-02-07T18:37:04Z,0
E0026750,S11774,view_product,2026-03-31T22:05:09Z,0
E0023668,S10380,add_to_cart,2026-03-21T16:25:31Z,0
E0021306,S09356,view_product,2026-01-24T17:48:27Z,0
E0020607,S09059,view_product,2026-03-16T15:37:47Z,0
E0009623,S04198,checkout,2026-02-22T00:40:51Z,0
E0018576,S08142,visit,2026-01-24T17:17:15Z,0
E0003283,S01437,purchase,2026-03-19T17:18:50Z,139.71
E0009119,S03986,view_product,2026-03-12T19:03:51Z,0
E0004880,S02128,view_product,2026-03-29T09:39:36Z,0
E0016977,S07436,view_product,2026-01-17T16:25:53Z,0
E0015767,S06904,visit,2026-01-09T07:35:26Z,0
E0006743,S02942,view_product,2026-02-15T03:18:40Z,0
E0015724,S06881,view_product,2026-01-24T14:04:38Z,0
E0009454,S04135,purchase,2026-03-15T19:27:15Z,157.04
E0019075,S08380,checkout,2026-01-07T18:24:17Z,0
E0020026,S08802,purchase,2026-03-02T04:18:21Z,31.49
E0018711,S08211,visit,2026-03-02T15:20:27Z,0
E0014197,S06229,visit,2026-01-18T14:58:33Z,0
E0014477,S06341,add_to_cart,2026-02-03T16:18:46Z,0
E0017184,S07527,visit,2026-01-29T12:15:24Z,0
E0008339,S03647,add_to_cart,2026-03-03T11:22:57Z,0
E0000878,S00388,view_product,2026-02-22T13:34:27Z,0
E0016829,S07365,view_product,2026-03-15T03:27:38Z,0
E0007893,S03443,checkout,2026-01-22T10:51:08Z,0
E0018518,S08115,visit,2026-01-23T04:26:45Z,0
E0008019,S03501,visit,2026-02-05T14:37:43Z,0
E0016330,S07154,visit,2026-03-08T15:42:17Z,0
E0003045,S01337,view_product,2026-03-07T07:24:58Z,0
E0012554,S05490,view_product,2026-03-09T05:21:55Z,0
E0014805,S06481,visit,2026-03-09T07:39:59Z,0
E0001659,S00726,view_product,2026-01-31T22:37:56Z,0
E0019668,S08647,visit,2026-02-04T17:05:26Z,0
E0005361,S02341,visit,2026-02-07T13:34:29Z,0
E0022249,S09766,visit,2026-02-14T01:27:55Z,0
E0019376,S08518,view_product,2026-01-09T20:49:58Z,0
E0016556,S07250,view_product,2026-01-10T01:28:54Z,0
E0002880,S01263,visit,2026-02-13T16:17:32Z,0
E0023925,S10502,visit,2026-02-21T21:10:50Z,0
E0023163,S10164,add_to_cart,2026-03-22T14:59:54Z,0
E0011946,S05228,view_product,2026-03-24T13:19:20Z,0
E0015143,S06637,view_product,2026-01-17T15:01:17Z,0
E0017976,S07881,view_product,2026-01-21T17:26:19Z,0
E0005884,S02566,view_product,2026-03-06T12:16:22Z,0
E0015266,S06688,view_product,2026-01-01T17:51:51Z,0
E0018423,S08075,visit,2026-02-22T10:08:44Z,0
E0011197,S04892,view_product,2026-01-02T21:03:12Z,0
E0002804,S01229,checkout,2026-01-15T00:33:09Z,0
E0007120,S03106,visit,2026-01-11T13:36:33Z,0
E0022782,S09997,view_product,2026-01-17T18:19:19Z,0
E0011208,S04898,checkout,2026-03-12T07:59:24Z,0
E0024016,S10540,view_product,2026-01-20T20:19:15Z,0
E0014841,S06498,visit,2026-02-25T21:51:00Z,0
E0014315,S06275,purchase,2026-02-04T07:55:18Z,164.72
E0018877,S08288,visit,2026-02-05T11:48:34Z,0
